"TAXA","SPECIES","Common_name","mass","color_dimorphism","max_lifespan","endemic"
"BIRD","Acanthiza katherina","Mountain Thornbill","8.9","0","15",1
"BIRD","Acanthorhynchus tenuirostris","Eastern Spinebill","11","1","16",0
"BIRD","Accipiter novaehollandiae","Grey Goshawk","515","0","20",0
"BIRD","Ailuroedus melanotis","Spotted Catbird","166","0","20",0
"BIRD","Alcedo azurea","Azure Kingfisher","33.8","0","21",0
"BIRD","Alcedo pusilla","Little Kingfisher","14.5","0","21",0
"BIRD","Alectura lathami","Australian Brush Turkey","2330","0","13",0
"BIRD","Alisterus scapularis","Australian King Parrot","212","1","27",0
"BIRD","Aplonis metallica","Metallic Starling","56","0",".",0
"BIRD","Arses kaupi","Pied Monarch","12.6","1","4",1
"BIRD","Artamus leucorynchus","White-breasted Woodswallow","41","0","9",0
"BIRD","Cacatua galerita","Sulphur-crested Cockatoo","789.5","0","57",0
"BIRD","Cacomantis castaneiventris","Chestnut-breasted Cuckoo","29.5","0","6",0
"BIRD","Cacomantis flabelliformis","Fan-tailed Cuckoo","49.9","1","6",0
"BIRD","Cacomantis variolosus","Brush Cuckoo","32.9","1","6",0
"BIRD","Casuarius casuarius","Southern Cassowary","41375","0","40",0
"BIRD","Chalcophaps indica","Emerald Dove","111","1","12",0
"BIRD","Chrysococcyx lucidus","Shining Bronze-Cuckoo (Golden)","23.9","0","6",0
"BIRD","Chrysococcyx minutillus","Little Bronze-Cuckoo","18.6","0","6",0
"BIRD","Chrysococcyx russatus","Gould's Bronze-Cuckoo","18.7","1","6",0
"BIRD","Collocalia spodiopygius","White-rumped Swiftlet","15","0","12",0
"BIRD","Colluricincla boweri","Bowers Shrike-Thrush","39.1","0","7",1
"BIRD","Colluricincla megarhyncha","Little Shrike-Thrush","33","0","17",0
"BIRD","Columba leucomela","White-headed Pigeon","420","0","15",0
"BIRD","Coracina lineata","Barred Cuckoo-Shrike","100","0","9",0
"BIRD","Cormobates leucophaeus","White-throated Treecreeper","16.9","1","12",0
"BIRD","Cracticus quoyi","Black Butcherbird","156","0","6",0
"BIRD","Cuculus saturatus","Oriental Cuckoo","94.8","1","13",0
