TAXA,FAMILY,SPECIES,SUBSPECIES,Common_name,spp_code_raster,Spp_code_phylogeny,mass,mass_male,mass_female,size,size_male,size_female,color_dimorphism,age_1st_rep,max_lifespan,rep_characteristics,clutch_litter_size,rep_per_year,rep_seasonality,broad_diet,activity_period,shelter_type,strata_used,pot_dispersal,endemic,rainforest_specialization,references,num_occur,AUC,model_background,realized_dist,core_realized_dist,potential_dist,core_potential_dist,elev_range,temp_range,precip_range,ENFA_marginality,ENFA_specialization,num_veg_types,veg_speciliazation,map_reliability
BIRD,Acanthizidae,Acanthiza katherina,.,Mountain Thornbill,MTHORN,Ak,8.9,.,.,111,.,.,0,.,15,9,2,1,1,4,1,1,4,4,1,6,1;2,353,0.975,grid,6223.5,2834.8,6258.6,2842.8,560 - 1540,15.7 - 20.9,1309 - 7413,1.82,1.38,11,0.754,4
BIRD,Meliphagidae,Acanthorhynchus tenuirostris,cairnsensis,Eastern Spinebill,ESB,At,11,11.6,10,145,.,.,1,.,16,9,2,5,3,4,1,1,4,6,0,4,1;2,253,0.958,grid,9315.4,4185.4,9388.3,4211.1,200 - 1540,15.7 - 23,1237 - 7408,1.62,1.12,10,0.675,4
BIRD,Accipitridae,Accipiter novaehollandiae,.,Grey Goshawk,GGH,An,515,350,680,550,.,.,0,365,20,9,3,1,1,4,1,1,4,7,0,5,1;3*,78,0.891,grid,22812.1,9715.4,22812.1,9715.4,0 - 1437,16.2 - 24.4,1124 - 6505,0.96,0.53,5,0.618,3c
BIRD,Ptilonorhynchidae,Ailuroedus melanotis,maculosus,Spotted Catbird,CAT,Am,166,179,156,280,.,.,0,.,20,10,2,1,2,3,1,1,4,6,0,5,1;2,703,0.921,grid,15144.9,7846.5,15288,7913.6,10 - 1527,15.8 - 24.5,1186 - 7292,1.21,0.63,13,0.771,4
BIRD,Alcedinidae,Alcedo azurea,azurea,Azure Kingfisher,AZK,Aa,33.8,33.4,34.3,190,.,.,0,365,21,10,5.5,.,3,4,1,2,4,5,0,4,1;3*,90,0.814,grid,29723.5,17501.5,29723.5,17501.5,2 - 1080,18.2 - 24.7,817 - 4157,0.66,0.49,11,0.338,2bc
BIRD,Alcedinidae,Alcedo pusilla,halli,Little Kingfisher,LK,Ap,14.5,15,14,130,.,.,0,365,21,10,5,.,2,4,1,2,4,4,0,4,1;3*,34,0.883,grid,21301.2,10462.3,21331.3,10469.1,1 - 880,19.4 - 24.7,817 - 3727,0.73,0.61,8,0.393,2bc
BIRD,Megapodiidae,Alectura lathami,lathami,Australian Brush Turkey,ABT,Al,2330,2450,2210,700,.,.,0,365,13,11,18,1,2,2,1,2,2,5,0,4,1;2,318,0.895,grid,20359.8,9004.3,20359.8,9004.3,1 - 1449,16.2 - 24.5,877 - 6602,0.94,0.53,14,0.638,4
BIRD,Psittacidae,Alisterus scapularis,minor,Australian King Parrot,KP,aS,212,223,201,425,.,.,1,.,27,10,4.5,1,2,3,1,1,4,7,0,4,1;3,394,0.944,grid,11661.6,4982.4,11661.6,4982.4,20 - 1540,15.7 - 23.9,1202 - 7408,1.4,0.84,11,0.83,4
BIRD,Sturnidae,Aplonis metallica,metallica,Metallic Starling,MSTAR,AM,56,61.6,52.7,250,.,.,0,365,.,10,3,3,3,3,1,1,4,8,0,4,1,198,0.875,target group,14537.5,9707.2,14537.7,9707.2,0 - 1208,17.7 - 24.6,1239 - 4157,1.37,0.81,10,0.458,4
BIRD,Dicruridae,Arses kaupi,kaupi,Pied Monarch,PMON,AK,12.6,12.7,12.5,155,.,.,1,.,4,10,2,1,2,4,1,1,4,5,1,5,1;2,235,0.906,grid,18192.3,8544.3,18332,8591.1,0 - 1183,17.9 - 25,1202 - 3869,0.96,0.6,12,0.735,3c
